City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
379,Mocajuba,BR,73.47,light rain,-2.58,-49.51,Hotel Tocantins
382,Harper,LR,74.82,broken clouds,4.38,-7.72,Screensaver
384,Tongchuan,CN,80.6,clear sky,35.08,109.09,Tongchuan Hotel
386,Sidrolandia,BR,75.2,clear sky,-20.93,-54.96,hotel cisne azul
388,Buala,SB,84.74,light rain,-8.14,159.59,Maringe Lagoon Lodge
390,Tura,IN,80.17,broken clouds,25.52,90.22,Hotel RIKMAN Continental
400,Grand Gaube,MU,68.0,light rain,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
401,Nhulunbuy,AU,82.4,overcast clouds,-12.23,136.77,East Arnhem Real Estate
404,Road Town,VG,78.8,light rain,18.42,-64.62,"ZINGARA 76ft Catamaran, full crew-all included"
407,Trindade,BR,73.4,clear sky,-16.65,-49.49,Pousada Central
408,Guerrero Negro,MX,74.34,clear sky,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
411,Albanel,CA,66.2,broken clouds,48.88,-72.45,Camping municipal d'Albanel
416,Mbandaka,CD,68.99,overcast clouds,0.05,18.26,Guest House Epervier
417,Behbahan,IR,71.6,clear sky,30.6,50.24,Esteghlal Hotel
421,Moyale,KE,65.71,overcast clouds,3.52,39.06,Latahzan guest house
424,Koppal,IN,73.29,scattered clouds,15.35,76.15,Hotel B.S.Pawar Grand
427,Ulcinj,ME,71.6,thunderstorm with rain,41.93,19.22,Hotel Mediteran
428,Sibu,MY,80.6,scattered clouds,2.3,111.82,RH HOTEL (4 Star)
430,Korla,CN,82.0,clear sky,41.76,86.15,Gulisitan Hotel
431,Gizo,SB,84.56,clear sky,-8.1,156.84,Imagination Island
435,Shenjiamen,CN,84.13,overcast clouds,29.96,122.3,Jinjiang Inn Zhoushan Putuo Shenjiamen
436,Mahibadhoo,MV,83.5,light rain,3.78,72.97,Omadhoo Inn
441,Westport,US,80.6,clear sky,41.14,-73.36,The Westport Inn
443,Srivardhan,IN,80.04,moderate rain,18.03,73.02,Savli Resort/Hotel - Shrivardhan
444,Voh,NC,78.33,clear sky,-20.97,164.7,Le gîte du Koniambo
449,Songjianghe,CN,68.45,overcast clouds,42.19,127.48,Sijisheng Fashion Guest House
452,Nagar Karnul,IN,75.51,overcast clouds,16.48,78.32,JANGITI VENKATASWAMY HOUSE
453,Heihe,CN,69.8,broken clouds,50.24,127.49,Hotel Druzhba
454,Prainha,BR,73.85,light rain,-1.8,-53.48,Hotel Brasília
455,Inhambane,MZ,67.98,clear sky,-23.86,35.38,Oceano
457,Nouadhibou,MR,75.2,clear sky,20.93,-17.03,El Medina
463,Guarapari,BR,66.2,broken clouds,-20.67,-40.5,Hotel Porto do Sol
465,Kangaba,ML,72.21,moderate rain,11.93,-8.42,Hôtel Mandé
468,Edremit,TR,73.4,clear sky,39.6,27.02,Entur Termal Otel
469,Navrongo,GH,74.23,overcast clouds,10.9,-1.09,Azakka Hotel
473,Faya,SA,71.6,scattered clouds,18.39,42.45,مقبرة ال مجمل
479,Sal Rei,CV,78.8,broken clouds,16.18,-22.92,Marine Club Beach Resort
481,Carutapera,BR,75.09,clear sky,-1.2,-46.02,Lidera
482,Corn Island,NI,83.5,overcast clouds,12.17,-83.04,Big Fish Guest House
486,Sunnyside,US,84.99,clear sky,46.32,-120.01,Rodeway Inn
489,Brigantine,US,80.6,clear sky,39.41,-74.36,Legacy Vacation Resort Brigantine Beach
490,Banikoara,BJ,69.55,overcast clouds,11.3,2.44,Hôtel de l'UCom CVPC
492,Salgueiro,BR,71.33,clear sky,-8.07,-39.12,Hotel Polo
498,Beipiao,CN,78.76,overcast clouds,41.79,120.78,Beipiao Hotel
501,Zhangjiakou,CN,76.28,clear sky,40.81,114.88,Shell Zhangjiakou City Qiaodong District Ginza Hotel
503,Pitimbu,BR,69.8,clear sky,-7.47,-34.81,Reserva do Abiaí
504,Yulara,AU,73.4,clear sky,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
505,La Palma,US,80.6,clear sky,33.85,-118.05,La Quinta Inn & Suites by Wyndham Buena Park
507,Sicamous,CA,66.0,scattered clouds,50.83,-118.99,Best Western Sicamous Inn
510,Brokopondo,SR,78.12,clear sky,4.75,-55.17,Matu Island
511,Sassandra,CI,72.55,overcast clouds,4.95,-6.08,la terrasse
512,Santander,ES,68.0,overcast clouds,43.46,-3.8,Abba Santander Hotel
514,Jiayuguan,CN,80.56,clear sky,39.82,98.3,Jiugang Hotel - Jiayuguan
517,Miandrivazo,MG,68.85,clear sky,-19.52,45.47,Hôtel Arc En Ciel Miandrivazo
518,Alice Springs,AU,80.6,clear sky,-23.7,133.88,Desert Palms Alice Springs
519,Satana,IN,74.37,broken clouds,20.58,74.2,Dharmashanti Banglo
520,Abnub,EG,75.2,clear sky,27.27,31.15,مسجد الخطبة
522,Bombo,ID,83.03,few clouds,-8.61,119.01,Losmen Mustika
523,Tshikapa,CD,73.9,scattered clouds,-6.42,20.8,Hôtel Tshia-Muntu de Tshikapa
524,Ende,ID,84.81,clear sky,-8.84,121.66,Dwi Putra Hotel - Ende
528,Keti Bandar,PK,82.33,overcast clouds,24.14,67.45,Haji laloo memon house
535,Nanga Eboko,CM,66.65,overcast clouds,4.68,12.37,Akila Hotel
538,Phonhong,LA,84.2,broken clouds,18.5,102.42,Napakuang Resort
542,Awbari,LY,77.4,clear sky,26.59,12.78,فندق أوباري
544,Umm Lajj,SA,82.85,clear sky,25.02,37.27,Moon light Furnished Units
545,Ocean Springs,US,77.0,light rain,30.41,-88.83,Golden Nugget Biloxi Hotel & Casino
547,Kudahuvadhoo,MV,83.34,light rain,2.67,72.89,Kudahuvadhoo Retreat
552,Valdosta,US,75.2,moderate rain,30.83,-83.28,Courtyard by Marriott Valdosta
555,Biltine,TD,78.1,overcast clouds,14.53,20.92,Hôtel Trois Étoiles de Biltine
556,Monroe,US,79.0,scattered clouds,43.15,-77.68,Staybridge Suites Rochester University
557,Nantucket,US,71.6,fog,41.28,-70.1,Jared Coffin House
559,Afikpo,NG,69.93,overcast clouds,5.89,7.94,P. Noble Hotels and Suite
560,Adiake,CI,75.2,few clouds,5.29,-3.3,Hotel Lagune
561,Broome,US,72.0,clear sky,42.25,-75.83,Chenango Valley State Park
563,Nortelandia,BR,82.49,broken clouds,-14.45,-56.8,Hotel Karysmã
564,Villarrobledo,ES,70.0,clear sky,39.27,-2.6,Hotel Castillo
565,Faro,PT,72.0,clear sky,37.02,-7.93,Hotel Faro & Beach Club
569,Palmer,US,75.2,few clouds,42.16,-72.33,Wedgewood Motel
570,Camacha,PT,71.6,scattered clouds,33.08,-16.33,Hotel Porto Santo & Spa
572,Mormugao,IN,77.0,broken clouds,15.4,73.8,Hotel La-Paz Gardens
577,Presidencia Roque Saenz Pena,AR,78.91,overcast clouds,-26.79,-60.44,Hotel Aconcagua
580,Sao Raimundo Das Mangabeiras,BR,79.21,few clouds,-7.02,-45.48,Hotel Tropical
582,Ambilobe,MG,66.94,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
584,Zhangye,CN,80.64,clear sky,38.93,100.45,Zhangye Lvzhou Holiday Inn
590,Sibolga,ID,84.27,clear sky,1.74,98.78,Hotel Syariah CN Darussalam
591,Byron Bay,AU,69.01,scattered clouds,-28.65,153.62,Backpackers Inn on the Beach
592,Rawlins,US,77.0,clear sky,41.79,-107.24,Holiday Inn Express Rawlins
593,Los Llanos De Aridane,ES,75.99,few clouds,28.66,-17.92,Valle Aridane
594,Oussouye,SN,78.58,overcast clouds,12.48,-16.55,Auberge du Routard
595,Bontang,ID,82.56,light rain,0.13,117.5,Okra Leaf Guest House Syariah
596,Nayoro,JP,79.39,overcast clouds,44.35,142.46,大雪荘
597,Roanoke,US,75.99,overcast clouds,37.27,-79.94,"The Hotel Roanoke & Conference Center, Curio Collection by Hilton"
599,Ingersoll,CA,75.99,clear sky,43.03,-80.88,Elm Hurst Inn & Spa
601,Erzin,TR,78.01,clear sky,36.96,36.2,Artemis Otel
602,Mahanoro,MG,68.0,light rain,-19.9,48.8,Hôtel Mon Désir
604,Mitsamiouli,KM,76.41,scattered clouds,-11.38,43.28,Foyer ADM
609,Porbandar,IN,81.73,moderate rain,21.64,69.61,Lords Inn Porbandar
611,Kavaratti,IN,80.87,overcast clouds,10.57,72.64,Bismillah Hotel And Lodging
613,Andros Town,BS,84.2,few clouds,24.7,-77.77,Hanks place
614,Birjand,IR,68.0,clear sky,32.87,59.22,Birjand Tourist Hotel
615,Saint Pete Beach,US,82.99,clear sky,27.73,-82.74,TradeWinds Island Grand Resort
616,Petropavlovsk-Kamchatskiy,RU,66.2,broken clouds,53.05,158.65,"ООО ""Гостиничный комплекс ""Петропавловск"""
620,Dabakala,CI,70.77,overcast clouds,8.37,-4.43,Hôtel Campement
623,Isabela,PH,84.2,scattered clouds,6.71,121.97,Isawad Resort
624,Jaswantnagar,IN,80.82,clear sky,26.88,78.9,Shivam beauty parlour
628,Nicoya,CR,73.74,scattered clouds,10.15,-85.45,Guayacan Real
630,Weligama,LK,80.17,few clouds,5.97,80.42,Weligama Bay Resort
639,Gemena,CD,69.17,overcast clouds,3.25,19.77,Hôtel Goshen
641,Vrangel,RU,70.03,moderate rain,42.73,133.08,"Отель ""БАЛИ"""
646,Shellbrook,CA,68.0,few clouds,53.22,-106.4,Shellbrook Hotel
647,Matoury,GF,78.8,few clouds,4.85,-52.33,Hôtel La Marmotte
650,Marsa Matruh,EG,77.0,few clouds,31.35,27.25,Beau Site
651,Mananjary,MG,66.27,scattered clouds,-21.22,48.33,Vahiny Lodge
652,San Onofre,CO,78.57,overcast clouds,9.74,-75.53,Hotel Sinai
653,Eyl,SO,75.36,broken clouds,7.98,49.82,Amiin Hotel
655,Meulaboh,ID,81.43,clear sky,4.14,96.13,Kost Pria
656,Nurota,UZ,69.8,overcast clouds,40.56,65.69,Guest House Ruslan Nurata & Tours
658,Yeppoon,AU,71.6,scattered clouds,-23.13,150.73,Villa Mar Colina
659,Bonthe,SL,76.55,overcast clouds,7.53,-12.51,Bonthe Holiday Village
660,Tecoanapa,MX,78.28,moderate rain,16.52,-98.75,Hotel Manglares
661,Moerai,PF,70.02,broken clouds,-22.43,-151.33,Le Manotel
662,Fairview,US,84.0,clear sky,40.81,-74.0,Homewood Suites by Hilton Edgewater-NYC Area
663,Boma,GH,68.43,overcast clouds,7.08,-2.17,Obaatanpa Hotel
664,Olinda,BR,71.6,few clouds,-8.01,-34.86,Hotel 5 Sóis
665,Natal,BR,75.2,clear sky,-5.79,-35.21,Villa Park Hotel | Natal
666,Praya,CV,80.6,broken clouds,14.92,-23.51,LT Aparthotel
667,Edgewater,US,84.2,broken clouds,28.99,-80.9,Islander Beach Resort
